"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"19596","LGR4-AS1",-3.14052167173078,3.70058074936349,-17.7089476867036,3.54222897769077e-40,1.98615503570643e-37,80.8082935933042
"16611","AL356489.2",-3.97776685970666,4.88479467413814,-17.7019418270639,3.69877955157153e-40,2.04251090206933e-37,80.7654131596476
"16250","GPIHBP1",-3.93326909238719,8.74889898215682,-17.6898346915455,3.98585579501115e-40,2.16818657171607e-37,80.6912968105708
"14416","CAV1",-3.39448765824902,13.4197630573323,-17.6234238141575,6.00776589632524e-40,3.21998582143338e-37,80.2844616324898
"2865","UBE2T",3.10927027137037,8.54004150074562,17.5983838637901,7.0137931210155e-40,3.70470585635552e-37,80.1309403801495
"31232","SPC24",3.09047295070995,7.4898747998349,17.5904220085292,7.3678217144659e-40,3.83610900293463e-37,80.0821114475792
"8777","FAM13A",-2.49339331570582,10.9292772310007,-17.5783893304706,7.93716512191032e-40,4.07433690187526e-37,80.0083035870302
"13461","HOXA6",-3.37844686014095,4.85577158910279,-17.5523402985495,9.32546173827541e-40,4.72049692379425e-37,79.8484659660528
"2474","NUF2",3.58713708528559,7.66601623560728,17.5471354212398,9.63078891745927e-40,4.80827031350302e-37,79.8165198227443
"30234","APCDD1",-2.72559960514747,10.9201835897229,-17.5228556086741,1.11929969331879e-39,5.51270224631037e-37,79.6674578959449
"10966","PTTG1",3.21066323167589,8.51130257025421,17.4929249816985,1.34729472322029e-39,6.54713379766489e-37,79.4836156388664
"10605","CDC25C",3.62354936808555,6.33704164035244,17.4504927763658,1.75258923822303e-39,8.40458781266799e-37,79.2228190483092
"35749","KIF4A",3.77515105121002,8.1938351001328,17.4298899592044,1.99144342397729e-39,9.42599312081511e-37,79.0961200684018
"20542","AP001528.2",-3.53091013559669,8.4188253324836,-17.4238098368681,2.0679821186997e-39,9.66277901258067e-37,79.0587210478589
"2572","FMO2",-4.43112149903382,10.870399304881,-17.408734380512,2.27072627188188e-39,1.04758088234186e-36,78.9659743101712
"1722","LINC02884",-4.4753882780238,7.15285072067311,-17.3983306111145,2.42215467139139e-39,1.10347311441913e-36,78.9019543447588
"23522","SPRY2",-2.71705630756428,10.4845141565804,-17.3312804140085,3.67293995171981e-39,1.65264159852321e-36,78.4890806812053
